Country,Year,GDP(millions euros)
Portugal,2022,243957.1
Romania,2022,281761.4
Slovenia,2022,56908.8
Slovakia,2022,110088.6
Finland,2022,266135
Sweden,2022,551781
Iceland,2022,27362.4
Liechtenstein,2022,7011.9
Norway,2022,565021.9
Switzerland,2022,787386.5
United Kingdom,2022,:
Bosnia and Herzegovina,2022,23324.1
Montenegro,2022,5924
North Macedonia,2022,13243.2
Albania,2022,18068.1
Serbia,2022,63501.1
Türkiye,2022,862309.9
Belgium,2023,596320.6
Bulgaria,2023,94709.3
Czechia,2023,317385.8
Denmark,2023,376430
Germany,2023,4185550
Estonia,2023,38187.8
Ireland,2023,509951.8
Greece,2023,225196.9
Spain,2023,1498324
France,2023,2822454.6
Croatia,2023,78048.5
Italy,2023,2128001.4
Cyprus,2023,31340
Latvia,2023,39072.5
Lithuania,2023,73792.8
Luxembourg,2023,79309.6
Hungary,2023,196639
Malta,2023,20542.2
Netherlands,2023,1067599
Austria,2023,473226.7
Poland,2023,748923.4
Portugal,2023,267384.3
Romania,2023,324368.6
Slovenia,2023,63951.2
Slovakia,2023,122918.9
Finland,2023,273318
Sweden,2023,540833.3
Iceland,2023,28975.3
Liechtenstein,2023,:
Norway,2023,448716.8
Switzerland,2023,826951.8
United Kingdom,2023,:
Bosnia and Herzegovina,2023,25523.8
Montenegro,2023,6963.6
North Macedonia,2023,14582.7
Albania,2023,21782.2
Serbia,2023,75204
Türkiye,2023,1030513.6
