Country,Year,Percentage,Type
Estonia,2018,86.6,Female
Denmark,2018,80.4,Female
Czechia,2018,90.5,Female
Cyprus,2018,92.8,Female
Croatia,2018,96,Female
Bulgaria,2018,86.3,Female
Bosnia and Herzegovina,2018,:,Female
Belgium,2018,87.9,Female
North Macedonia,2017,90.2,Female
Netherlands,2017,86.1,Female
Montenegro,2017,95.1,Female
Malta,2017,85.8,Female
Luxembourg,2017,81.9,Female
Lithuania,2017,93.1,Female
Latvia,2017,92,Female
Italy,2017,85.7,Female
Ireland,2017,95.5,Female
Iceland,2017,71.7,Female
Hungary,2017,84.5,Female
Greece,2017,93.8,Female
Germany,2017,80,Female
France,2017,89.7,Female
Finland,2017,88.5,Female
Estonia,2017,88.9,Female
Denmark,2017,81.7,Female
Czechia,2017,89.6,Female
Cyprus,2017,91.5,Female
Croatia,2017,96.9,Female
Bulgaria,2017,85.8,Female
Bosnia and Herzegovina,2017,:,Female
Belgium,2017,88.5,Female
North Macedonia,2023,:,Total
Netherlands,2023,86.6,Total
Montenegro,2023,:,Total
Malta,2023,86.7,Total
Luxembourg,2023,82,Total
Lithuania,2023,92.7,Total
Latvia,2023,87.4,Total
Italy,2023,85.7,Total
Ireland,2023,95,Total
Iceland,2023,73.1,Total
Hungary,2023,85.2,Total
Greece,2023,95.4,Total
Germany,2023,71.4,Total
France,2023,90.5,Total
Finland,2023,85.3,Total
Estonia,2023,83.3,Total
Denmark,2023,75.3,Total
Czechia,2023,89.5,Total
Cyprus,2023,88.4,Total
Croatia,2023,97.3,Total
Bulgaria,2023,88.6,Total
Bosnia and Herzegovina,2023,91.9,Total
Belgium,2023,88.4,Total
North Macedonia,2022,:,Total
Netherlands,2022,87.4,Total
Montenegro,2022,:,Total
Malta,2022,87.2,Total
Luxembourg,2022,77.5,Total
Lithuania,2022,93.5,Total
Latvia,2022,89.5,Total
Italy,2022,85.1,Total
Ireland,2022,95.2,Total
Iceland,2022,67.5,Total
Hungary,2022,83.7,Total
Greece,2022,94,Total
Germany,2022,70.1,Total
France,2022,90,Total
Finland,2022,86.7,Total
Estonia,2022,83.2,Total
Denmark,2022,75.8,Total
Czechia,2022,90.3,Total
Cyprus,2022,90.1,Total
Croatia,2022,97.3,Total
Bulgaria,2022,88.3,Total
Bosnia and Herzegovina,2022,93.2,Total
Belgium,2022,88.2,Total
North Macedonia,2021,:,Total
Netherlands,2021,87.5,Total
Montenegro,2021,:,Total
Malta,2021,88.9,Total
Luxembourg,2021,76.6,Total
Lithuania,2021,91.9,Total
Latvia,2021,87,Total
Italy,2021,83.5,Total
Ireland,2021,96.1,Total
Iceland,2021,66.6,Total
Hungary,2021,84.3,Total
Greece,2021,95.7,Total
Germany,2021,75.9,Total
France,2021,89.7,Total
Finland,2021,87.6,Total
Estonia,2021,85.9,Total
Denmark,2021,75.4,Total
Czechia,2021,89.3,Total
Cyprus,2021,89.6,Total
Croatia,2021,96.9,Total
Bulgaria,2021,86.5,Total
Bosnia and Herzegovina,2021,93.9,Total
Belgium,2021,88.2,Total
North Macedonia,2020,93.9,Total
Netherlands,2020,83.1,Total
Montenegro,2020,96.1,Total
Malta,2020,84.7,Total
Luxembourg,2020,75.4,Total
Lithuania,2020,90.1,Total
Latvia,2020,88,Total
Italy,2020,81.8,Total
Ireland,2020,94.9,Total
Iceland,2020,68.1,Total
Hungary,2020,85.7,Total
Greece,2020,94.9,Total
Germany,2020,79.3,Total
France,2020,89.7,Total
Finland,2020,89.1,Total
Estonia,2020,85.7,Total
Denmark,2020,76.1,Total
Czechia,2020,87.4,Total
Cyprus,2020,88.5,Total
Croatia,2020,97.2,Total
Bulgaria,2020,85.4,Total
Bosnia and Herzegovina,2020,:,Total
Belgium,2020,85.7,Total
North Macedonia,2019,91.9,Total
Netherlands,2019,82.2,Total
Montenegro,2019,95.2,Total
Malta,2019,81.8,Total
Luxembourg,2019,77.5,Total
Lithuania,2019,92.5,Total
Latvia,2019,87.1,Total
Italy,2019,82.3,Total
Ireland,2019,94.1,Total
Iceland,2019,66.7,Total
Hungary,2019,86.4,Total
Greece,2019,94.5,Total
Germany,2019,77.5,Total
France,2019,88.5,Total
Finland,2019,88.2,Total
Estonia,2019,82.6,Total
Denmark,2019,75.8,Total
Czechia,2019,88.3,Total
Cyprus,2019,92.4,Total
Croatia,2019,97.3,Total
Bulgaria,2019,84.4,Total
Bosnia and Herzegovina,2019,:,Total
Belgium,2019,85.6,Total
North Macedonia,2018,91.9,Total
Netherlands,2018,82.5,Total
Montenegro,2018,96.1,Total
Malta,2018,81.6,Total
Luxembourg,2018,76.8,Total
Lithuania,2018,92.1,Total
Latvia,2018,88.3,Total
Italy,2018,81.4,Total
Ireland,2018,94.4,Total
Iceland,2018,61.7,Total
Hungary,2018,84.9,Total
Greece,2018,93.9,Total
Germany,2018,77.4,Total
France,2018,88.3,Total
Finland,2018,87.4,Total
Estonia,2018,81.5,Total
Denmark,2018,75,Total
Czechia,2018,89.5,Total
Cyprus,2018,91.5,Total
Croatia,2018,96.3,Total
Bulgaria,2018,86,Total
Bosnia and Herzegovina,2018,:,Total
Belgium,2018,84.8,Total
North Macedonia,2017,90.7,Total
Netherlands,2017,81.9,Total
Montenegro,2017,95.1,Total
Malta,2017,82.6,Total
Luxembourg,2017,75.3,Total
Lithuania,2017,91.3,Total
Latvia,2017,87.3,Total
Italy,2017,81.8,Total
Ireland,2017,94.2,Total
Iceland,2017,64.6,Total
Hungary,2017,84.3,Total
Greece,2017,92.4,Total
Germany,2017,77.5,Total
France,2017,88.1,Total
Finland,2017,87.3,Total
Estonia,2017,83.7,Total
Denmark,2017,75.4,Total
Czechia,2017,89.2,Total
Cyprus,2017,89.8,Total
Croatia,2017,96.5,Total
Bulgaria,2017,85.8,Total
Bosnia and Herzegovina,2017,:,Total
Belgium,2017,85.7,Total
