Country,Year,Employment Rate (%),Education Level
Türkiye,2017,49.3,Level 0-2
Belgium,2023,68.2,Level 3-4
Bulgaria,2023,75.8,Level 3-4
Czechia,2023,82.1,Level 3-4
Denmark,2023,80.1,Level 3-4
Germany,2023,81.9,Level 3-4
Estonia,2023,79.4,Level 3-4
Ireland,2023,75.5,Level 3-4
Greece,2023,63.4,Level 3-4
Spain,2023,66.1,Level 3-4
France,2023,71.4,Level 3-4
Croatia,2023,69.1,Level 3-4
Italy,2023,68.3,Level 3-4
Cyprus,2023,76.6,Level 3-4
Latvia,2023,73.6,Level 3-4
Lithuania,2023,72,Level 3-4
Luxembourg,2023,67.6,Level 3-4
Hungary,2023,80.1,Level 3-4
Malta,2023,84,Level 3-4
Netherlands,2023,84.1,Level 3-4
Austria,2023,77.1,Level 3-4
Poland,2023,72.9,Level 3-4
Portugal,2023,78.3,Level 3-4
Romania,2023,70.1,Level 3-4
Slovenia,2023,75.2,Level 3-4
Slovakia,2023,77.4,Level 3-4
Finland,2023,75.7,Level 3-4
Sweden,2023,81.3,Level 3-4
Iceland,2023,84.4,Level 3-4
Norway,2023,79.3,Level 3-4
Switzerland,2023,82.2,Level 3-4
Bosnia and Herzegovina,2023,58.6,Level 3-4
Montenegro,2023,:,Level 3-4
North Macedonia,2023,:,Level 3-4
Serbia,2023,68.1,Level 3-4
Türkiye,2023,59,Level 3-4
Belgium,2022,68.3,Level 3-4
Bulgaria,2022,75.9,Level 3-4
Czechia,2022,81.8,Level 3-4
Denmark,2022,80.8,Level 3-4
Germany,2022,81.3,Level 3-4
Estonia,2022,79.9,Level 3-4
Ireland,2022,73.8,Level 3-4
Greece,2022,62,Level 3-4
Spain,2022,65.1,Level 3-4
France,2022,71.3,Level 3-4
Croatia,2022,69.3,Level 3-4
Italy,2022,67.3,Level 3-4
Cyprus,2022,75.2,Level 3-4
Latvia,2022,73.1,Level 3-4
Lithuania,2022,72.8,Level 3-4
Luxembourg,2022,66.8,Level 3-4
Hungary,2022,80,Level 3-4
Malta,2022,84.7,Level 3-4
Netherlands,2022,83.5,Level 3-4
Austria,2022,77.4,Level 3-4
Poland,2022,72.7,Level 3-4
Portugal,2022,77.1,Level 3-4
Romania,2022,69.1,Level 3-4
Slovenia,2022,74.2,Level 3-4
Slovakia,2022,76.9,Level 3-4
Finland,2022,76,Level 3-4
Sweden,2022,80.8,Level 3-4
Iceland,2022,83.9,Level 3-4
Norway,2022,79.8,Level 3-4
Switzerland,2022,81.6,Level 3-4
Bosnia and Herzegovina,2022,56.6,Level 3-4
Montenegro,2022,:,Level 3-4
North Macedonia,2022,:,Level 3-4
Serbia,2022,67.3,Level 3-4
Türkiye,2022,58.3,Level 3-4
Belgium,2021,67.5,Level 3-4
Bulgaria,2021,73.4,Level 3-4
Czechia,2021,80.4,Level 3-4
Denmark,2021,79.5,Level 3-4
Germany,2021,80.2,Level 3-4
Estonia,2021,76.9,Level 3-4
Ireland,2021,69.5,Level 3-4
Greece,2021,57.9,Level 3-4
Spain,2021,63.4,Level 3-4
France,2021,71.1,Level 3-4
Croatia,2021,67.3,Level 3-4
Italy,2021,65.1,Level 3-4
Cyprus,2021,72,Level 3-4
Latvia,2021,71,Level 3-4
Lithuania,2021,70.3,Level 3-4
Luxembourg,2021,68.4,Level 3-4
Hungary,2021,78.7,Level 3-4
Malta,2021,81.8,Level 3-4
Netherlands,2021,82.2,Level 3-4
Austria,2021,75.1,Level 3-4
Poland,2021,71.2,Level 3-4
Portugal,2021,74.5,Level 3-4
Romania,2021,68.3,Level 3-4
Slovenia,2021,71.5,Level 3-4
Slovakia,2021,75.4,Level 3-4
Finland,2021,74.1,Level 3-4
Sweden,2021,80.2,Level 3-4
Iceland,2021,80.4,Level 3-4
Norway,2021,79.1,Level 3-4
Switzerland,2021,80.3,Level 3-4
Bosnia and Herzegovina,2021,55.2,Level 3-4
Montenegro,2021,:,Level 3-4
North Macedonia,2021,:,Level 3-4
Serbia,2021,65.3,Level 3-4
Türkiye,2021,54.8,Level 3-4
Belgium,2020,66.6,Level 3-4
Bulgaria,2020,72.7,Level 3-4
Czechia,2020,80.6,Level 3-4
Denmark,2020,78.8,Level 3-4
Germany,2020,79.2,Level 3-4
Estonia,2020,77.9,Level 3-4
Ireland,2020,66.9,Level 3-4
Greece,2020,53.5,Level 3-4
Spain,2020,61.6,Level 3-4
France,2020,69.6,Level 3-4
Croatia,2020,66.1,Level 3-4
Italy,2020,64.4,Level 3-4
Cyprus,2020,70.9,Level 3-4
Latvia,2020,73.9,Level 3-4
Lithuania,2020,69.3,Level 3-4
Luxembourg,2020,67.6,Level 3-4
Hungary,2020,77.7,Level 3-4
Malta,2020,80.8,Level 3-4
Netherlands,2020,81.9,Level 3-4
Austria,2020,74.1,Level 3-4
Poland,2020,68.2,Level 3-4
Portugal,2020,73.5,Level 3-4
Romania,2020,66.2,Level 3-4
Slovenia,2020,70.9,Level 3-4
Slovakia,2020,75.8,Level 3-4
Finland,2020,72.4,Level 3-4
Sweden,2020,80.2,Level 3-4
Iceland,2020,81.6,Level 3-4
Norway,2020,79.2,Level 3-4
Switzerland,2020,80,Level 3-4
Bosnia and Herzegovina,2020,:,Level 3-4
Montenegro,2020,52.8,Level 3-4
North Macedonia,2020,61.8,Level 3-4
Serbia,2020,63.3,Level 3-4
Türkiye,2020,52,Level 3-4
Belgium,2019,68.8,Level 3-4
Bulgaria,2019,74.8,Level 3-4
Czechia,2019,81.3,Level 3-4
Denmark,2019,80.1,Level 3-4
Germany,2019,80.8,Level 3-4
Estonia,2019,79.2,Level 3-4
Ireland,2019,72.4,Level 3-4
Greece,2019,56.2,Level 3-4
Spain,2019,65,Level 3-4
France,2019,70.7,Level 3-4
Croatia,2019,66.3,Level 3-4
Italy,2019,66.3,Level 3-4
Cyprus,2019,72.7,Level 3-4
Latvia,2019,73.8,Level 3-4
Lithuania,2019,71.6,Level 3-4
Luxembourg,2019,67.4,Level 3-4
Hungary,2019,78.2,Level 3-4
Malta,2019,80.6,Level 3-4
Netherlands,2019,82.7,Level 3-4
Austria,2019,76.8,Level 3-4
Poland,2019,68.2,Level 3-4
Portugal,2019,77.4,Level 3-4
Romania,2019,66.2,Level 3-4
Slovenia,2019,73.3,Level 3-4
Slovakia,2019,77.5,Level 3-4
Finland,2019,74.3,Level 3-4
Sweden,2019,81.6,Level 3-4
Iceland,2019,85.4,Level 3-4
Norway,2019,80.4,Level 3-4
Switzerland,2019,80.8,Level 3-4
Bosnia and Herzegovina,2019,:,Level 3-4
Montenegro,2019,58.7,Level 3-4
North Macedonia,2019,62.6,Level 3-4
Serbia,2019,61.9,Level 3-4
Türkiye,2019,55.2,Level 3-4
Belgium,2018,67.9,Level 3-4
Bulgaria,2018,72.6,Level 3-4
Czechia,2018,80.7,Level 3-4
Denmark,2018,79.6,Level 3-4
Germany,2018,80.2,Level 3-4
Estonia,2018,78.3,Level 3-4
Ireland,2018,71.1,Level 3-4
Greece,2018,54.3,Level 3-4
Spain,2018,64.3,Level 3-4
France,2018,71,Level 3-4
Croatia,2018,64.8,Level 3-4
Italy,2018,65.6,Level 3-4
Cyprus,2018,71.6,Level 3-4
Latvia,2018,73.8,Level 3-4
Lithuania,2018,71.9,Level 3-4
Luxembourg,2018,68.1,Level 3-4
Hungary,2018,76.9,Level 3-4
Malta,2018,80.9,Level 3-4
Netherlands,2018,81.5,Level 3-4
Austria,2018,76,Level 3-4
Poland,2018,67.5,Level 3-4
Portugal,2018,76.2,Level 3-4
Romania,2018,65.4,Level 3-4
Slovenia,2018,72.7,Level 3-4
Slovakia,2018,76.4,Level 3-4
Finland,2018,73,Level 3-4
Sweden,2018,82.2,Level 3-4
Iceland,2018,86.8,Level 3-4
Norway,2018,80.8,Level 3-4
Switzerland,2018,80.8,Level 3-4
Bosnia and Herzegovina,2018,:,Level 3-4
Montenegro,2018,57.1,Level 3-4
North Macedonia,2018,59.5,Level 3-4
Serbia,2018,60.2,Level 3-4
Türkiye,2018,58.3,Level 3-4
Belgium,2017,66.7,Level 3-4
Bulgaria,2017,71.5,Level 3-4
Czechia,2017,79.4,Level 3-4
Denmark,2017,78.6,Level 3-4
Germany,2017,79.6,Level 3-4
Estonia,2017,77.2,Level 3-4
Ireland,2017,69.5,Level 3-4
Greece,2017,52.9,Level 3-4
Spain,2017,63.4,Level 3-4
France,2017,70.3,Level 3-4
Croatia,2017,63.7,Level 3-4
Italy,2017,65.3,Level 3-4
Cyprus,2017,68.5,Level 3-4
Latvia,2017,71.6,Level 3-4
Lithuania,2017,69.7,Level 3-4
Luxembourg,2017,68.3,Level 3-4
Hungary,2017,75.9,Level 3-4
Malta,2017,80.3,Level 3-4
Netherlands,2017,80.6,Level 3-4
Austria,2017,75.1,Level 3-4
Poland,2017,66.4,Level 3-4
Portugal,2017,74.8,Level 3-4
Romania,2017,64.1,Level 3-4
Slovenia,2017,70.6,Level 3-4
Slovakia,2017,75,Level 3-4
Finland,2017,70.7,Level 3-4
Sweden,2017,81.7,Level 3-4
Iceland,2017,88.4,Level 3-4
Norway,2017,79.6,Level 3-4
Switzerland,2017,81,Level 3-4
Bosnia and Herzegovina,2017,:,Level 3-4
Montenegro,2017,55.3,Level 3-4
North Macedonia,2017,58.4,Level 3-4
Serbia,2017,58.6,Level 3-4
Türkiye,2017,57.6,Level 3-4
Belgium,2023,85.8,Level 5-8
Bulgaria,2023,90.2,Level 5-8
Czechia,2023,86.5,Level 5-8
Denmark,2023,88.4,Level 5-8
Germany,2023,88.3,Level 5-8
Estonia,2023,89.7,Level 5-8
Ireland,2023,87.4,Level 5-8
Greece,2023,79.1,Level 5-8
Spain,2023,82,Level 5-8
France,2023,85.1,Level 5-8
Croatia,2023,86.5,Level 5-8
Italy,2023,81.6,Level 5-8
Cyprus,2023,85.4,Level 5-8
Latvia,2023,87.5,Level 5-8
Lithuania,2023,89.4,Level 5-8
Luxembourg,2023,84.5,Level 5-8
Hungary,2023,91.4,Level 5-8
Malta,2023,89.8,Level 5-8
Netherlands,2023,89.5,Level 5-8
Austria,2023,85.8,Level 5-8
Poland,2023,90.7,Level 5-8
Portugal,2023,87.6,Level 5-8
Romania,2023,89.8,Level 5-8
Slovenia,2023,89.8,Level 5-8
Slovakia,2023,87.9,Level 5-8
Finland,2023,88.2,Level 5-8
Sweden,2023,89.5,Level 5-8
Iceland,2023,90.8,Level 5-8
Norway,2023,88.2,Level 5-8
Switzerland,2023,89,Level 5-8
Bosnia and Herzegovina,2023,79.3,Level 5-8
Montenegro,2023,:,Level 5-8
North Macedonia,2023,:,Level 5-8
Serbia,2023,84.5,Level 5-8
Türkiye,2023,72.8,Level 5-8
Belgium,2022,85.1,Level 5-8
Bulgaria,2022,89.8,Level 5-8
Czechia,2022,86.2,Level 5-8
Denmark,2022,88.2,Level 5-8
Germany,2022,88.7,Level 5-8
Estonia,2022,88.2,Level 5-8
Ireland,2022,87.1,Level 5-8
Greece,2022,78.5,Level 5-8
Spain,2022,81.2,Level 5-8
France,2022,84.8,Level 5-8
Croatia,2022,85.1,Level 5-8
Italy,2022,80.6,Level 5-8
Cyprus,2022,85.1,Level 5-8
Latvia,2022,86.6,Level 5-8
Lithuania,2022,89.7,Level 5-8
Luxembourg,2022,85.1,Level 5-8
Hungary,2022,91.4,Level 5-8
Malta,2022,89.4,Level 5-8
Netherlands,2022,89.1,Level 5-8
Austria,2022,85.9,Level 5-8
Poland,2022,90.4,Level 5-8
Portugal,2022,87.2,Level 5-8
Romania,2022,89.5,Level 5-8
Slovenia,2022,89.6,Level 5-8
Slovakia,2022,86.9,Level 5-8
Finland,2022,88.1,Level 5-8
Sweden,2022,89.5,Level 5-8
Iceland,2022,91.7,Level 5-8
Norway,2022,88.9,Level 5-8
Switzerland,2022,88.7,Level 5-8
Bosnia and Herzegovina,2022,77.3,Level 5-8
Montenegro,2022,:,Level 5-8
North Macedonia,2022,:,Level 5-8
Serbia,2022,84.4,Level 5-8
Türkiye,2022,71.2,Level 5-8
Belgium,2021,84.1,Level 5-8
Bulgaria,2021,88.6,Level 5-8
Czechia,2021,84.8,Level 5-8
Denmark,2021,87.3,Level 5-8
Germany,2021,87.9,Level 5-8
Estonia,2021,87.1,Level 5-8
Ireland,2021,84.9,Level 5-8
Greece,2021,75.2,Level 5-8
Spain,2021,79.6,Level 5-8
France,2021,84.3,Level 5-8
Croatia,2021,84.7,Level 5-8
Italy,2021,79.2,Level 5-8
Cyprus,2021,83.8,Level 5-8
Latvia,2021,85.7,Level 5-8
Lithuania,2021,89.3,Level 5-8
Luxembourg,2021,84.1,Level 5-8
Hungary,2021,89.9,Level 5-8
Malta,2021,88.3,Level 5-8
Netherlands,2021,88.4,Level 5-8
Austria,2021,84.9,Level 5-8
Poland,2021,90,Level 5-8
Portugal,2021,85.8,Level 5-8
Romania,2021,88.4,Level 5-8
Slovenia,2021,88.5,Level 5-8
Slovakia,2021,85.4,Level 5-8
Finland,2021,87.3,Level 5-8
Sweden,2021,88.2,Level 5-8
Iceland,2021,88.7,Level 5-8
Norway,2021,88.3,Level 5-8
Switzerland,2021,88.7,Level 5-8
Bosnia and Herzegovina,2021,75.2,Level 5-8
Montenegro,2021,:,Level 5-8
North Macedonia,2021,:,Level 5-8
Serbia,2021,81.4,Level 5-8
Türkiye,2021,69.6,Level 5-8
Belgium,2020,83.3,Level 5-8
Bulgaria,2020,87.5,Level 5-8
Czechia,2020,83.9,Level 5-8
Denmark,2020,87.1,Level 5-8
Germany,2020,86.6,Level 5-8
Estonia,2020,85.8,Level 5-8
Ireland,2020,82.8,Level 5-8
Greece,2020,71.9,Level 5-8
Spain,2020,78.2,Level 5-8
France,2020,83.1,Level 5-8
Croatia,2020,83.6,Level 5-8
Italy,2020,77.9,Level 5-8
Cyprus,2020,83.4,Level 5-8
Latvia,2020,85.7,Level 5-8
Lithuania,2020,89.5,Level 5-8
Luxembourg,2020,83.2,Level 5-8
Hungary,2020,89.7,Level 5-8
Malta,2020,87.5,Level 5-8
Netherlands,2020,87.7,Level 5-8
Austria,2020,84.5,Level 5-8
Poland,2020,88.4,Level 5-8
Portugal,2020,84.2,Level 5-8
Romania,2020,88.6,Level 5-8
Slovenia,2020,87.8,Level 5-8
Slovakia,2020,85.6,Level 5-8
Finland,2020,86.4,Level 5-8
Sweden,2020,87.6,Level 5-8
Iceland,2020,88.7,Level 5-8
Norway,2020,87.9,Level 5-8
Switzerland,2020,88.5,Level 5-8
Bosnia and Herzegovina,2020,:,Level 5-8
Montenegro,2020,73.5,Level 5-8
North Macedonia,2020,78.1,Level 5-8
Serbia,2020,78.8,Level 5-8
Türkiye,2020,68,Level 5-8
Belgium,2019,83.8,Level 5-8
Bulgaria,2019,88.5,Level 5-8
Czechia,2019,84.9,Level 5-8
Denmark,2019,87.2,Level 5-8
Germany,2019,88,Level 5-8
Estonia,2019,87.6,Level 5-8
Ireland,2019,85.1,Level 5-8
Greece,2019,74.6,Level 5-8
Spain,2019,80.3,Level 5-8
France,2019,83.8,Level 5-8
Croatia,2019,82,Level 5-8
Italy,2019,79.3,Level 5-8
Cyprus,2019,83.4,Level 5-8
Latvia,2019,88.6,Level 5-8
Lithuania,2019,90.8,Level 5-8
Luxembourg,2019,84.7,Level 5-8
Hungary,2019,89.4,Level 5-8
Malta,2019,86.6,Level 5-8
Netherlands,2019,87.9,Level 5-8
Austria,2019,85.2,Level 5-8
Poland,2019,88.5,Level 5-8
Portugal,2019,85.6,Level 5-8
Romania,2019,88.9,Level 5-8
Slovenia,2019,88.1,Level 5-8
Slovakia,2019,85.9,Level 5-8
Finland,2019,86.2,Level 5-8
Sweden,2019,88.4,Level 5-8
Iceland,2019,91.6,Level 5-8
Norway,2019,88.2,Level 5-8
Switzerland,2019,89,Level 5-8
Bosnia and Herzegovina,2019,:,Level 5-8
Montenegro,2019,77.8,Level 5-8
North Macedonia,2019,77.5,Level 5-8
Serbia,2019,79.4,Level 5-8
Türkiye,2019,70.8,Level 5-8
Belgium,2018,83.5,Level 5-8
Bulgaria,2018,86.3,Level 5-8
Czechia,2018,85.6,Level 5-8
Denmark,2018,86.1,Level 5-8
Germany,2018,87.5,Level 5-8
Estonia,2018,86.6,Level 5-8
Ireland,2018,84.4,Level 5-8
Greece,2018,72.8,Level 5-8
Spain,2018,80.1,Level 5-8
France,2018,83.3,Level 5-8
Croatia,2018,81.4,Level 5-8
Italy,2018,79.1,Level 5-8
Cyprus,2018,80.8,Level 5-8
Latvia,2018,88.5,Level 5-8
Lithuania,2018,90.6,Level 5-8
Luxembourg,2018,83.7,Level 5-8
Hungary,2018,89.3,Level 5-8
Malta,2018,89.9,Level 5-8
Netherlands,2018,87.8,Level 5-8
Austria,2018,84.9,Level 5-8
Poland,2018,87.9,Level 5-8
Portugal,2018,85.6,Level 5-8
Romania,2018,88.1,Level 5-8
Slovenia,2018,86.4,Level 5-8
Slovakia,2018,84.7,Level 5-8
Finland,2018,86.2,Level 5-8
Sweden,2018,88.2,Level 5-8
Iceland,2018,92.2,Level 5-8
Norway,2018,87.5,Level 5-8
Switzerland,2018,88.4,Level 5-8
Bosnia and Herzegovina,2018,:,Level 5-8
Montenegro,2018,78.6,Level 5-8
North Macedonia,2018,74.8,Level 5-8
Serbia,2018,77.4,Level 5-8
Türkiye,2018,71.7,Level 5-8
Belgium,2017,82.2,Level 5-8
Bulgaria,2017,85.7,Level 5-8
Czechia,2017,84.2,Level 5-8
Denmark,2017,85.5,Level 5-8
Germany,2017,87.1,Level 5-8
Estonia,2017,86.8,Level 5-8
Ireland,2017,84.1,Level 5-8
Greece,2017,70.5,Level 5-8
Spain,2017,79.4,Level 5-8
France,2017,83.4,Level 5-8
Croatia,2017,81.4,Level 5-8
Italy,2017,78.6,Level 5-8
Cyprus,2017,79.1,Level 5-8
Latvia,2017,86.4,Level 5-8
Lithuania,2017,90.1,Level 5-8
Luxembourg,2017,83.9,Level 5-8
Hungary,2017,88.6,Level 5-8
Malta,2017,90.5,Level 5-8
Netherlands,2017,87,Level 5-8
Austria,2017,85.1,Level 5-8
Poland,2017,87.1,Level 5-8
Portugal,2017,83.5,Level 5-8
Romania,2017,87.7,Level 5-8
Slovenia,2017,84.5,Level 5-8
Slovakia,2017,83.8,Level 5-8
Finland,2017,84,Level 5-8
Sweden,2017,87.7,Level 5-8
Iceland,2017,92.9,Level 5-8
Norway,2017,87.5,Level 5-8
Switzerland,2017,87.9,Level 5-8
Bosnia and Herzegovina,2017,:,Level 5-8
Montenegro,2017,77.7,Level 5-8
North Macedonia,2017,73.7,Level 5-8
